GET: Start: 3522968333, End: 3533256583, Latency: 10288250 µs
GET: Start: 3533314458, End: 3543615083, Latency: 10300625 µs
GET: Start: 3543653833, End: 3553948833, Latency: 10295000 µs
GET: Start: 3553988417, End: 3564275625, Latency: 10287208 µs
APPEND: Start: 3564315542, End: 3574563083, Latency: 10247541 µs
APPEND: Start: 3574608542, End: 3584910792, Latency: 10302250 µs
APPEND: Start: 3584958417, End: 3595315500, Latency: 10357083 µs
GET: Start: 3595374875, End: 3605821625, Latency: 10446750 µs
APPEND: Start: 3606033292, End: 3616412833, Latency: 10379541 µs
GET: Start: 3616466667, End: 3626746042, Latency: 10279375 µs
GET: Start: 3626809042, End: 3637142333, Latency: 10333291 µs
GET: Start: 3637201250, End: 3647503792, Latency: 10302542 µs
GET: Start: 3647545167, End: 3657822292, Latency: 10277125 µs
GET: Start: 3657861958, End: 3668541125, Latency: 10679167 µs
GET: Start: 3669329167, End: 3679721500, Latency: 10392333 µs
APPEND: Start: 3688772417, End: 3699165458, Latency: 10393041 µs
GET: Start: 3699207500, End: 3709563208, Latency: 10355708 µs
GET: Start: 3709603625, End: 3719907750, Latency: 10304125 µs
GET: Start: 3719950417, End: 3730255792, Latency: 10305375 µs
GET: Start: 3730294917, End: 3740691167, Latency: 10396250 µs
APPEND: Start: 3740744000, End: 3751010167, Latency: 10266167 µs
GET: Start: 3751065792, End: 3761742958, Latency: 10677166 µs
GET: Start: 3761788542, End: 3772095458, Latency: 10306916 µs
GET: Start: 3772136292, End: 3782516833, Latency: 10380541 µs
GET: Start: 3782565833, End: 3792868708, Latency: 10302875 µs
APPEND: Start: 3792916542, End: 3803241708, Latency: 10325166 µs
APPEND: Start: 3803289083, End: 3813818625, Latency: 10529542 µs
GET: Start: 3813880333, End: 3824278125, Latency: 10397792 µs
GET: Start: 3824317083, End: 3834662167, Latency: 10345084 µs
GET: Start: 3834705375, End: 3845133333, Latency: 10427958 µs
GET: Start: 3845170042, End: 3855489042, Latency: 10319000 µs
GET: Start: 3855530375, End: 3865879167, Latency: 10348792 µs
APPEND: Start: 3865922292, End: 3876195625, Latency: 10273333 µs
GET: Start: 3876229875, End: 3886560917, Latency: 10331042 µs
APPEND: Start: 3886605917, End: 3896981917, Latency: 10376000 µs
APPEND: Start: 3897018792, End: 3907385875, Latency: 10367083 µs
GET: Start: 3907425833, End: 3917725292, Latency: 10299459 µs
APPEND: Start: 3917764375, End: 3928123208, Latency: 10358833 µs
GET: Start: 3928174000, End: 3938551750, Latency: 10377750 µs
GET: Start: 3938594667, End: 3948873875, Latency: 10279208 µs
GET: Start: 3948924542, End: 3959242750, Latency: 10318208 µs
GET: Start: 3959288167, End: 3969579167, Latency: 10291000 µs
GET: Start: 3969629833, End: 3979998667, Latency: 10368834 µs
GET: Start: 3980037500, End: 3990427208, Latency: 10389708 µs
APPEND: Start: 3990478333, End: 4000780208, Latency: 10301875 µs
APPEND: Start: 4000846458, End: 4011236750, Latency: 10390292 µs
